epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,1330.29,0.88476,1.21214,0.00305,0.81916,0.82086,0.88412,0.69399,0.68673,0.94162,0.00126,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,1356.6,0.93648,1.20355,0.00359,0.87844,0.77947,0.90933,0.73411,0.70649,0.79444,0.00138,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,1382.99,0.94323,1.21075,0.00395,0.83764,0.77516,0.8952,0.72221,0.68228,0.85019,0.00133,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,1409.21,0.92663,1.0743,0.00342,0.8098,0.83454,0.9036,0.72562,0.67836,0.8839,0.00123,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,1435.32,0.91558,1.08848,0.00359,0.88423,0.86576,0.93363,0.78129,0.65683,0.65707,0.00118,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,1462.2,0.89786,1.06748,0.00335,0.8578,0.8878,0.93947,0.79154,0.63331,0.62712,0.00124,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,1488.66,0.90896,1.02459,0.00317,0.8947,0.80673,0.91886,0.7401,0.6657,0.8264,0.00128,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,1514.92,0.88997,1.05551,0.00309,0.8576,0.87987,0.93889,0.76718,0.67138,0.72753,0.00131,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,1541.45,0.88557,1.00692,0.00317,0.90757,0.83889,0.93205,0.77996,0.64796,0.6973,0.00122,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,1568.5,0.87238,1.01966,0.00334,0.94837,0.8436,0.93884,0.78026,0.6511,0.67341,0.00125,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,1595.02,0.9007,0.98343,0.00335,0.83642,0.79241,0.87014,0.69173,0.62225,0.97334,0.00117,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,1621.34,0.84648,0.93441,0.00287,0.74018,0.84501,0.83335,0.65332,0.65021,1.06906,0.00119,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,1647.88,0.88047,0.9628,0.00328,0.87813,0.87999,0.94038,0.77439,0.64125,0.70966,0.00119,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,1675.04,0.87017,0.90763,0.00315,0.88019,0.8768,0.95054,0.78935,0.63693,0.62781,0.00122,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,1702.06,0.86721,0.9924,0.00317,0.85027,0.93802,0.94664,0.78945,0.62438,0.63244,0.00107,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,1730.25,0.93051,0.98454,0.00432,0.924,0.84135,0.9416,0.77821,0.6712,0.67255,0.00113,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,1763.46,0.91632,0.97341,0.00325,0.89102,0.88584,0.94571,0.79725,0.62543,0.63674,0.00112,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,1791.49,0.87421,0.96319,0.00329,0.9123,0.86334,0.94307,0.79149,0.6479,0.63729,0.0012,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,1819.74,0.85335,0.88315,0.00297,0.90076,0.83667,0.91939,0.75311,0.64557,0.78867,0.0012,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,1847.84,0.85225,0.94004,0.00308,0.88774,0.84628,0.92062,0.74755,0.64231,0.76877,0.00117,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,1875.67,0.8629,0.92382,0.003,0.91127,0.83277,0.94159,0.79611,0.62781,0.62152,0.00114,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,1903.68,0.88788,0.99681,0.00357,0.86307,0.84769,0.93551,0.80068,0.6099,0.60465,0.00106,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,1931.6,0.85334,0.90451,0.00295,0.81175,0.88446,0.92878,0.78658,0.61702,0.63909,0.00108,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,1958.34,0.83928,0.85765,0.00287,0.83459,0.81508,0.89541,0.73294,0.62987,0.81103,0.00111,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,1984.93,0.82187,0.84026,0.00287,0.79264,0.87666,0.9069,0.74625,0.63631,0.76441,0.0011,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,2012.78,0.82526,0.83864,0.00281,0.86019,0.89651,0.94655,0.80425,0.61962,0.59679,0.00105,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,2040.39,0.85436,0.86116,0.00332,0.85872,0.86342,0.93498,0.79479,0.61475,0.61694,0.00107,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,2066.98,0.81581,0.83677,0.00295,0.92938,0.87815,0.95465,0.81128,0.62074,0.54384,0.00116,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,2093.76,0.81234,0.82515,0.00274,0.88977,0.8909,0.94884,0.81108,0.62569,0.55749,0.00109,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,2120.98,0.83096,0.83074,0.00324,0.83869,0.91481,0.94329,0.80128,0.63024,0.57481,0.00111,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,2149.31,0.80658,0.79842,0.0026,0.88243,0.90817,0.94595,0.80816,0.6097,0.5411,0.00107,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,2178.43,0.80669,0.78499,0.00291,0.90948,0.86173,0.9488,0.80958,0.60387,0.5575,0.0011,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,2207.11,0.81465,0.80848,0.00292,0.88434,0.90477,0.95082,0.80241,0.63331,0.55215,0.00113,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,2235.04,0.81465,0.78953,0.00304,0.90374,0.90091,0.95841,0.80816,0.62498,0.53276,0.00113,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,2262.48,0.82661,0.79913,0.00318,0.87028,0.89266,0.94882,0.80134,0.598,0.60423,0.00111,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
82,2289.88,0.8344,0.83379,0.00313,0.915,0.88747,0.95797,0.81264,0.61933,0.5004,0.00112,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085,0.000849255,0.000283085
83,2316.19,0.8136,0.75731,0.0026,0.90474,0.90041,0.95549,0.8146,0.61322,0.49311,0.00113,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
84,2343.11,0.80887,0.80435,0.00277,0.89943,0.90137,0.95169,0.80748,0.60848,0.50561,0.00111,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791,0.000764372,0.000254791
85,2369.93,0.82549,0.80276,0.00357,0.90717,0.86119,0.94882,0.80155,0.60113,0.55101,0.00111,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
86,2396.33,0.80031,0.8167,0.00292,0.87568,0.87665,0.93084,0.77183,0.59946,0.67483,0.00111,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497,0.00067949,0.000226497
87,2422.46,0.77238,0.77699,0.00271,0.85836,0.88114,0.93993,0.78786,0.60982,0.62182,0.00112,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
88,2448.66,0.81347,0.77087,0.00317,0.8926,0.836,0.93993,0.79258,0.61061,0.59462,0.00112,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202,0.000594607,0.000198202
89,2474.93,0.77719,0.74625,0.00269,0.87388,0.87467,0.94228,0.80527,0.57439,0.55545,0.0011,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055,0.000552166,0.000184055
90,2501.21,0.79602,0.75721,0.003,0.84965,0.93461,0.94586,0.80918,0.59065,0.52476,0.00112,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908,0.000509724,0.000169908
91,2528.78,0.73153,0.66035,0.00313,0.91175,0.88872,0.94857,0.80248,0.63016,0.50935,0.00115,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761,0.000467283,0.000155761
92,2555.02,0.76102,0.73975,0.0031,0.91563,0.88872,0.94678,0.80585,0.60704,0.51892,0.00113,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614,0.000424842,0.000141614
93,2582.2,0.75522,0.72331,0.00316,0.88685,0.88578,0.94325,0.80101,0.60241,0.56504,0.00114,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467,0.0003824,0.000127467
94,2608.68,0.74421,0.71913,0.00302,0.89393,0.88753,0.94848,0.80058,0.60392,0.55305,0.00113,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332,0.000339959,0.00011332
95,2635.06,0.73062,0.7192,0.00254,0.87654,0.93188,0.95279,0.81651,0.59434,0.49595,0.00113,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05,0.000297518,9.91726e-05
96,2662.46,0.75885,0.68495,0.00315,0.89308,0.88443,0.94784,0.81256,0.59133,0.51607,0.00111,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05,0.000255077,8.50255e-05
97,2689.53,0.75641,0.70708,0.00306,0.90824,0.90429,0.95293,0.82066,0.59657,0.48374,0.00112,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05,0.000212635,7.08784e-05
98,2716.73,0.74189,0.71134,0.00298,0.91404,0.90608,0.95444,0.81572,0.59552,0.48697,0.00113,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05,0.000170194,5.67313e-05
99,2744.48,0.74247,0.67984,0.00275,0.91099,0.91507,0.95481,0.82138,0.59121,0.4844,0.00113,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05,0.000127753,4.25842e-05
100,2771.56,0.75666,0.69182,0.00323,0.89536,0.90884,0.9515,0.81781,0.59326,0.50277,0.00113,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05,8.53113e-05,2.84371e-05
